ac 4400,3300kW,diesel,22.30m-4.01m-4.72m,  https://media.discordapp.net/attachments/739458979381379072/752154656154583080/download_3.jpg
class 01,Diesel-mechanical,114kW,7.214m-2.578m-3.620m,
class 02,Diesel-hydraulic,130kW,6.693m-2.59m-3.486m,https://media.discordapp.net/attachments/642408584923185156/793796968388362270/class_02.jpg
class 03,Diesel-mechanical,152kW,7.92m-2.591m-3.72m,https://media.discordapp.net/attachments/642408584923185156/793796966550863902/class_03.jpg
class 04,Diesel-mechanical,152kW,7.94m-2.59m-3.696m,https://media.discordapp.net/attachments/642408584923185156/793796965598232576/class_04.jpg
class 05,Diesel-mechanical,152kW,7.72m-2.515m-3.353m,https://media.discordapp.net/attachments/642408584923185156/793796964021436416/class_05.jpg
class 06,Diesel-mechanical,152kW,7.90m-2.565m-3.612m,https://media.discordapp.net/attachments/642408584923185156/793796962541109329/class_06.jpg
class 07,Diesel-electric,205kW,8.17m-2.591m-3.912m,
class 08,Diesel-electric,261kW,8.92m-2.591m-3.877m,https://cdn.discordapp.com/attachments/615271081514893324/763805300754743336/download_5.jpg
class 09,Diesel-electric,261kW,8.92m-2.591m-3.874m,
class 10,Diesel-electric,261kW,8.92m-2.591m-3.874m,
class 11,Diesel-electric,261kW,8.88m-2.565m-3.797m,
class 12,Diesel-electric,261kW,8.98m-2.74m-3.87m,
class 13,Diesel-electric,261kW,18.31m-2.59m-3.87m,
class 14,Diesel-hydraulic,485kW,10.541m-2.629m-3.962m,
class 15,Diesel-electric,597kW,12.80m-2.794m-3.810m,
class 16,Diesel-electric,597kW,12.95m-2.654m-3.861m,
class 17,Diesel-electric,336kW,15.43m-2.68m-3.86m,
class 19,Diesel-hydrostatic,Unkown,18.83m-2.71m-3.88m,
class 20,Diesel-electric,746kW,14.256m-2.67m-3.851m,
class 21,Diesel-electric,746kW,15.70m-2.64m-3.86m,
class 21,Diesel-hydraulic/diesel-electric,1570kW,14.7m-3.3m-4.8m,
class 22,Diesel-hydraulic,Unkown,14.237m-2.64m-3.91m,
class 23,Diesel-electric,820kW,16.00m-2.71m-3.86m,
class 24,Diesel-electric,865kW,15.39m-2.69m-3.86m,
class 25,Diesel-electric,932kW,15.392m-2.769m-3.861m,
class 26,Diesel-electric,865kW,15.47m-2.69m-3.86m,
class 27,Diesel-electric,932kW,15.47m-2.69m-3.86m,
class 28,Diesel-electric,895kW,17.26m-2.59m-3.70m,
class 29,Diesel-electric,1010kW,15.70m-2.64m-3.86m,
class 31,Diesel-electric,930kW,17.30m-2.67m-3.84m,
class 33,Diesel-electric,1156kW,15.47m-2.69m-3.86m,https://cdn.discordapp.com/attachments/615271081514893324/763806873606160404/download_6.jpg
class 35,Diesel-hydraulic,1270kW,15.761m-2.69m-3.91m,
class 37,Diesel-electric,1305kW,18.75m-2.71m-3.89m,https://media.discordapp.net/attachments/615271081514893324/763800839223246888/300px-5191693456_59e928f289_Steve_Jones.jpg
class 40,Diesel-electric,1490kW,21.18m-2.74m-3.91m,
class 41,Diesel-hydraulic,746kW,19.81m-2.64m-3.91m,
class 41,Diesel-electric,1678kW,17.17m-2.72m-3.91m,
class 42,Diesel-hydraulic,846kW,18.29m-2.69m-3.670m,
class 43,Diesel-hydraulic,820kW,18.29m-2.69m-3.90m,
class 43,Diesel-electric,1678kW,17.79m-2.74m-Unkown,
class 44,Diesel-electric,1715kW,20.70m-2.71m-3.91m, https://media.discordapp.net/attachments/615271081514893324/763799411692011551/300px-Class_44_no._44010__Tryfan__on_a_westbound_train_west_of_Frisby_on_the_Wreake_Leicestershire_N.jpg
class 45,Diesel-electric,1864kW,20.70m-2.71m-3.91m,
class 46,Diesel-electric,1864kW,20.70m-2.71m-3.91m,
class 47,Diesel-electric,2050kW,19.38m-2.69m-3.90m,
class 48,Diesel-electric,1976kW,19.35m-2.69m-3.90m,
class 50,Diesel-electric,2010kW,20.88m-2.69m-3.89m,
class 52,Diesel-hydraulic,1007kW,20.73m-2.64m-3.96m,
class 53,Diesel-electric,2150kW,20.98m-2.69m-3.91m,
class 57,Diesel-electric,Unkown,19.38m-2.79m-Unkown,
class 55,Diesel-electric,1230kW,21.18m-2.68m-3.91m,
class 56,Diesel-electric,2424kW,19.35m-2.79m-3.89m,https://cdn.discordapp.com/attachments/615271081514893324/780873649527193630/1280px-56006_at_Doncaster_Works.png
class 58,Diesel-electric,2460kW,19.13m-2.72m-3.91m,
class 59,Diesel-electric,2460kW,21.349m-2.648m-3.91m,
class 60,Diesel-electric,2300kW,21.34m-2.64m-3.95m,
class 66,Diesel-electric,2460kW,21.4m-2.65m-3.9m, https://cdn.discordapp.com/attachments/642413784937267226/762403940573642762/EE.jpg
class 67,Diesel-electric,2386kW,19.71m-2.71m-3.93m,
class 70,Diesel-electric,2750kW,21.710m-2.642m-3.917m,
intercity 125, 1678kW, Diesel, 17.79-2.74-3.81, https://cdn.discordapp.com/attachments/615271081514893324/756203415260102706/download_4.jpg